ID		CLASSIFICAÇÃO	TÍTULO
1041354	(não-smartphone)	Acessório T - Jean Bag For Girls para DS Lite
1041782	(não-smartphone)	Carrinho de Bebê Berço-Passeio - Pegasus Pink - Galzerano
1041834	(não-smartphone)	Carrinho de Bebê para Gêmeos Berço-Passeio - Twin - Galzerano
1042568	(não-smartphone)	Car Center - Calesita
1042584	(não-smartphone)	Donka Trem com Som - Calesita
1043696	(não-smartphone)	Interfone HDL AZ-01 Branco
1940486	(smartphone)	Smartphone LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3”, Android 4.1, Câmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e Cartão 4GB - Celular LG Optimus L7 II Dual
2277815	(smartphone)	Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3", Android 4.2, Câmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos
2961097	(smartphone)	Smartphone  Samsung Galaxy S5 SM-G900M Branco com Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz
2961099	(smartphone)	Smartphone  Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz
3031744	(smartphone)	Smartphone LG L90 Dual D410 Preto com Tela de 4.7”, Dual Chip, Android 4.4, Câmera 8MP e Processador Quad Core de 1.2 GHz
3076120	(smartphone)	Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e Câmera de 5MP
3507499	(smartphone)	Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, Câmera 2MP, FM, MP3 e Bluetooth
3507899	(smartphone)	Smartphone  Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz
3580503	(smartphone)	Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4”, Dual Chip, Android 4.4, Câmera 3MP, 3G, WiFi e Processador de 1GHz
3608270	(smartphone)	Smartphone LG G2 Lite D295 Branco com Tela de 4.5”, Dual Chip, Android 4.4, Câmera 8MP, 3G e Processador Quad Core de 1.2GHz
3638254	(smartphone)	Smartphone Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.
3638255	(smartphone)	Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP.
3842557	(smartphone)	Smartphone Alcatel One Touch Pop C7 Branco com Tela 5”, Dual Chip, Câmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo
4174797	(smartphone)	Smartphone Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core de1.2 Ghz
4174800	(smartphone)	Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Cinza com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz
4186072	(smartphone)	Smartphone Samsung Galaxy A7 4G Duos SM-A700FD Branco com Dual Chip, Tela 5.5", 4G, Android 4.4, Câmera 13MP e Processador Octa Core
